WKL13487.1	iAF987.Gmet_1919	35.0	100	58	3	32	128	31	126	3.74e-07	49.3
WKL13488.1	iAF987.Gmet_1917	34.8	138	89	1	18	155	2	138	2.39e-14	73.6
WKL13490.1	iAF987.Gmet_0069	30.6	121	82	1	2	120	3	123	1.88e-15	70.1
WKL13495.1	iAF987.Gmet_0069	33.6	107	64	3	8	110	5	108	2.33e-07	51.6
WKL13495.1	iAF987.Gmet_2999	31.1	106	66	3	8	110	10	111	4.74e-06	47.8
WKL13496.1	iJN1463.PP_4150	24.6	521	283	18	18	489	25	484	9.38e-23	102
WKL13496.1	iYL1228.KPN_02373	36.0	186	96	5	315	489	7	180	9.24e-24	100
WKL13496.1	iSDY_1059.SDY_1145	35.1	185	105	5	312	489	4	180	9.44e-24	100
WKL13496.1	iML1515.b1858	35.1	185	105	5	312	489	4	180	1.28e-23	100
WKL13496.1	iSbBS512_1146.SbBS512_E0954	35.1	185	105	5	312	489	4	180	1.28e-23	100
WKL13496.1	iSSON_1240.SSON_1283	35.1	185	105	5	312	489	4	180	1.28e-23	100
WKL13496.1	iSF_1195.SF1867	35.1	185	105	5	312	489	4	180	1.74e-23	99.8
WKL13496.1	iML1515.b2180	21.9	521	299	13	18	489	24	485	1.20e-21	98.6
WKL13496.1	iYO844.BSU02860	28.3	237	129	7	1	219	1	214	4.44e-22	95.1
WKL13496.1	iPC815.YPO2060	34.7	190	101	5	311	489	3	180	6.91e-22	95.1
WKL13496.1	iJN1463.PP_2592	31.9	207	122	5	317	505	6	211	1.43e-21	94.4
WKL13496.1	iML1515.b1513	24.7	522	268	15	13	489	21	462	3.38e-20	94.0
WKL13496.1	iLJ478.TM0115	24.8	520	308	19	13	505	24	487	3.52e-20	94.0
WKL13497.1	iIS312.TCDM_01902	39.3	61	31	2	75	131	88	146	8.73e-04	40.0
WKL13498.1	iJN1463.PP_2504	34.8	46	30	0	10	55	11	56	1.48e-04	35.4
WKL13499.1	iJN1463.PP_2504	35.3	51	33	0	10	60	11	61	7.38e-05	36.2
WKL13501.1	iJN1463.PP_0356	65.4	729	243	5	1	728	1	721	0.0	942
WKL13501.1	iCN718.ABAYE_RS10490	63.6	728	252	5	1	727	1	716	0.0	901
WKL13501.1	iML1515.b2976	61.5	719	268	4	10	727	10	720	0.0	890
WKL13501.1	iSF_1195.SF3015	60.9	719	272	4	10	727	10	720	5.57e-317	880
WKL13501.1	iEK1008.Rv1837c	60.8	732	278	5	1	730	1	725	4.13e-309	860
WKL13504.1	iAF987.Gmet_1919	26.1	115	83	2	1	114	1	114	4.97e-06	46.2
WKL13505.1	iAF987.Gmet_0043	26.6	271	162	8	164	409	10	268	2.95e-09	58.5
WKL13508.1	iAF987.Gmet_1434	54.8	542	231	5	30	569	40	569	1.16e-201	574
WKL13510.1	iJN1463.PP_0127	39.2	189	114	1	28	216	22	209	1.27e-43	145
WKL13511.1	iJN1463.PP_0954	28.8	153	99	5	6	158	7	149	7.72e-12	61.2
WKL13512.1	iML1515.b3201	60.5	243	91	1	18	260	4	241	2.05e-99	290
WKL13512.1	iSbBS512_1146.SbBS512_E3569	60.5	243	91	1	18	260	4	241	2.05e-99	290
WKL13512.1	iSDY_1059.SDY_3382	60.5	243	91	1	18	260	4	241	2.05e-99	290
WKL13512.1	iSF_1195.SF3241	60.5	243	91	1	18	260	4	241	2.05e-99	290
WKL13512.1	iSSON_1240.SSON_3349	60.5	243	91	1	18	260	4	241	2.05e-99	290
WKL13512.1	iJN1463.PP_0953	60.9	243	90	1	18	260	4	241	5.52e-97	283
WKL13512.1	iAF987.Gmet_1282	58.5	246	96	1	15	260	7	246	1.65e-92	272
WKL13514.1	iJN1463.PP_2423	55.7	296	131	0	7	302	3	298	9.17e-119	343
WKL13516.1	iAF692.Mbar_A0543	32.4	108	71	2	4	111	604	709	3.73e-14	66.6
WKL13516.1	iYO844.BSU00380	38.4	112	63	4	1	111	557	663	9.43e-14	65.5
WKL13516.1	iLJ478.TM1085	37.6	109	62	4	4	111	525	628	2.38e-13	64.3
WKL13519.1	iCN718.ABAYE_RS09965	33.0	264	153	7	4	254	5	257	2.02e-32	119
WKL13519.1	iAF987.Gmet_1531	34.5	261	152	7	1	257	1	246	8.27e-32	117
WKL13519.1	iYL1228.KPN_02061	33.6	262	156	7	7	258	3	256	9.73e-32	117
WKL13519.1	iCN718.ABAYE_RS09790	33.2	268	154	7	1	254	1	257	1.53e-31	117
WKL13519.1	iYO844.BSU15910	34.8	256	148	6	4	254	2	243	1.08e-31	117
WKL13519.1	iCN900.CD630_26790	30.0	263	162	4	4	254	2	254	3.12e-29	110
WKL13520.1	iML1515.b0543	36.0	100	64	0	3	102	4	103	1.33e-10	53.5
WKL13520.1	iML1515.b1599	30.3	99	69	0	5	103	11	109	3.65e-10	52.4
WKL13520.1	iSbBS512_1146.SbBS512_E1785	30.3	99	69	0	5	103	11	109	3.65e-10	52.4
WKL13520.1	iSSON_1240.SSON_1561	30.3	99	69	0	5	103	11	109	3.65e-10	52.4
WKL13520.1	iSF_1195.SF1620	29.3	99	70	0	5	103	11	109	1.44e-09	50.8
WKL13520.1	iML1515.b1600	31.9	94	58	1	8	101	16	103	1.41e-08	48.5
WKL13520.1	iSbBS512_1146.SbBS512_E1786	31.9	94	58	1	8	101	16	103	1.41e-08	48.5
WKL13520.1	iSDY_1059.SDY_1553	31.9	94	58	1	8	101	16	103	1.41e-08	48.5
WKL13520.1	iSF_1195.SF1621	31.9	94	58	1	8	101	16	103	1.41e-08	48.5
WKL13520.1	iSSON_1240.SSON_1560	31.9	94	58	1	8	101	16	103	1.41e-08	48.5
WKL13522.1	iSSON_1240.SSON_0706	63.4	344	126	0	31	374	6	349	1.79e-149	426
WKL13522.1	iML1515.b0754	63.1	344	127	0	31	374	6	349	5.12e-149	424
WKL13522.1	STM_v1_0.STM0760	63.1	344	127	0	31	374	6	349	5.12e-149	424
WKL13522.1	iSbBS512_1146.SbBS512_E0675	63.1	344	127	0	31	374	6	349	5.12e-149	424
WKL13522.1	iSDY_1059.SDY_0701	63.1	344	127	0	31	374	6	349	5.12e-149	424
WKL13522.1	iSF_1195.SF0550	62.8	344	128	0	31	374	6	349	2.94e-148	422
WKL13522.1	iYL1228.KPN_00758	62.5	344	129	0	31	374	6	349	1.37e-146	418
WKL13523.1	iCN718.ABAYE_RS09345	27.8	79	57	0	71	149	79	157	3.81e-04	38.9
WKL13524.1	iJN1463.PP_2849	66.7	201	63	2	17	217	7	203	4.70e-94	273
